25210.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25220.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.008928572}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25230.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.071428575}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25240.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.04017857}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25250.0, {'360082': 0.0, '360086': -0.058035713, 'GS_cluster_2415878664_254486231_359566_359576': -0.03125}, {'360082': 0, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25260.0, {'360082': -0.026785715, '360086': -0.06696428, 'GS_cluster_2415878664_254486231_359566_359576': -0.16071428}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25270.0, {'360082': 0.0, '360086': -0.12946428, 'GS_cluster_2415878664_254486231_359566_359576': -0.125}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25280.0, {'360082': -0.05357143, '360086': -0.0625, 'GS_cluster_2415878664_254486231_359566_359576': -0.07589286}, {'360082': 3, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 3, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25290.0, {'360082': -0.004464286, '360086': -0.04910714, 'GS_cluster_2415878664_254486231_359566_359576': -0.02232143}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25300.0, {'360082': -0.084821425, '360086': -0.16517857, 'GS_cluster_2415878664_254486231_359566_359576': -0.008928572}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 2, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25310.0, {'360082': -0.071428575, '360086': -0.3080357, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 2, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25320.0, {'360082': 0.0, '360086': -0.21875, 'GS_cluster_2415878664_254486231_359566_359576': -0.03125}, {'360082': 0, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 4, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25330.0, {'360082': 0.0, '360086': -0.04910714, 'GS_cluster_2415878664_254486231_359566_359576': -0.04910714}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25340.0, {'360082': -0.03125, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.04910714}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25350.0, {'360082': -0.004464286, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.0625}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25360.0, {'360082': -0.017857144, '360086': -0.013392857, 'GS_cluster_2415878664_254486231_359566_359576': -0.004464286}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 2, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25370.0, {'360082': -0.0625, '360086': -0.058035713, 'GS_cluster_2415878664_254486231_359566_359576': -0.06696428}, {'360082': 2, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 2, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25380.0, {'360082': -0.026785715, '360086': -0.026785715, 'GS_cluster_2415878664_254486231_359566_359576': -0.035714287}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25390.0, {'360082': -0.071428575, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.13839285}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 6}, 
25400.0, {'360082': -0.035714287, '360086': -0.035714287, 'GS_cluster_2415878664_254486231_359566_359576': -0.14732143}, {'360082': 2, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 5}, 
25410.0, {'360082': -0.084821425, '360086': -0.08928572, 'GS_cluster_2415878664_254486231_359566_359576': -0.08928572}, {'360082': 3, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 3, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25420.0, {'360082': 0.0, '360086': -0.2544643, 'GS_cluster_2415878664_254486231_359566_359576': -0.04464286}, {'360082': 0, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 0, '360086': 6, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25430.0, {'360082': -0.004464286, '360086': -0.56696427, 'GS_cluster_2415878664_254486231_359566_359576': -0.21428572}, {'360082': 1, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 1, '360086': 7, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25440.0, {'360082': -0.09821428, '360086': -0.90178573, 'GS_cluster_2415878664_254486231_359566_359576': -0.04910714}, {'360082': 3, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 4, '360086': 8, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25450.0, {'360082': -0.09375, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.09375}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25460.0, {'360082': 0.0, '360086': -0.035714287, 'GS_cluster_2415878664_254486231_359566_359576': -0.026785715}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25470.0, {'360082': 0.0, '360086': -0.08035714, 'GS_cluster_2415878664_254486231_359566_359576': -0.09375}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 0, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25480.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.035714287}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25490.0, {'360082': -0.02232143, '360086': -0.017857144, 'GS_cluster_2415878664_254486231_359566_359576': -0.071428575}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25500.0, {'360082': -0.026785715, '360086': -0.02232143, 'GS_cluster_2415878664_254486231_359566_359576': -0.07589286}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25510.0, {'360082': -0.02232143, '360086': -0.071428575, 'GS_cluster_2415878664_254486231_359566_359576': -0.102678575}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 1, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25520.0, {'360082': -0.10714286, '360086': -0.12946428, 'GS_cluster_2415878664_254486231_359566_359576': -0.026785715}, {'360082': 2, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 2, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25530.0, {'360082': -0.10714286, '360086': -0.22321428, 'GS_cluster_2415878664_254486231_359566_359576': -0.071428575}, {'360082': 4, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 4, '360086': 3, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25540.0, {'360082': -0.058035713, '360086': -0.017857144, 'GS_cluster_2415878664_254486231_359566_359576': -0.08035714}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25550.0, {'360082': -0.008928572, '360086': -0.03125, 'GS_cluster_2415878664_254486231_359566_359576': -0.24553572}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 1, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25560.0, {'360082': -0.04464286, '360086': -0.0625, 'GS_cluster_2415878664_254486231_359566_359576': -0.026785715}, {'360082': 3, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 3, '360086': 2, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25570.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.13392857}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25580.0, {'360082': -0.02232143, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.026785715}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25590.0, {'360082': -0.06696428, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.04464286}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25600.0, {'360082': -0.026785715, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.04464286}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25610.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.04910714}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25620.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': 0.0}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 0}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 0}, 
25630.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.102678575}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25640.0, {'360082': -0.026785715, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.21428572}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 4}, 
25650.0, {'360082': -0.071428575, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.0625}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25660.0, {'360082': -0.06696428, '360086': -0.008928572, 'GS_cluster_2415878664_254486231_359566_359576': -0.15178572}, {'360082': 3, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 3, '360086': 1, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25670.0, {'360082': 0.0, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.02232143}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 0, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, 
25680.0, {'360082': -0.04017857, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.05357143}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 2}, 
25690.0, {'360082': -0.0625, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.04017857}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 1}, {'360082': 4, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, 
25700.0, {'360082': -0.04910714, '360086': 0.0, 'GS_cluster_2415878664_254486231_359566_359576': -0.25892857}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 3}, {'360082': 1, '360086': 0, 'GS_cluster_2415878664_254486231_359566_359576': 7}, 
