57610.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57620.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57630.0, {'gneJ207': -0.06696428}, {'gneJ207': 2}, {'gneJ207': 3}, 
57640.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57650.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57660.0, {'gneJ207': -0.058035713}, {'gneJ207': 1}, {'gneJ207': 5}, 
57670.0, {'gneJ207': -0.15178572}, {'gneJ207': 2}, {'gneJ207': 3}, 
57680.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57690.0, {'gneJ207': -0.02232143}, {'gneJ207': 1}, {'gneJ207': 2}, 
57700.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57710.0, {'gneJ207': -0.004464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
57720.0, {'gneJ207': -0.13839285}, {'gneJ207': 4}, {'gneJ207': 6}, 
57730.0, {'gneJ207': -0.15178572}, {'gneJ207': 5}, {'gneJ207': 7}, 
57740.0, {'gneJ207': -0.38839287}, {'gneJ207': 4}, {'gneJ207': 7}, 
57750.0, {'gneJ207': -0.75446427}, {'gneJ207': 5}, {'gneJ207': 9}, 
57760.0, {'gneJ207': -1.0178572}, {'gneJ207': 7}, {'gneJ207': 12}, 
57770.0, {'gneJ207': -1.5758928}, {'gneJ207': 9}, {'gneJ207': 17}, 
57780.0, {'gneJ207': -0.875}, {'gneJ207': 10}, {'gneJ207': 11}, 
57790.0, {'gneJ207': -1.2857143}, {'gneJ207': 10}, {'gneJ207': 11}, 
57800.0, {'gneJ207': -1.8080357}, {'gneJ207': 11}, {'gneJ207': 13}, 
57810.0, {'gneJ207': -1.7678572}, {'gneJ207': 12}, {'gneJ207': 12}, 
57820.0, {'gneJ207': -1.7723215}, {'gneJ207': 10}, {'gneJ207': 10}, 
57830.0, {'gneJ207': -1.5535715}, {'gneJ207': 8}, {'gneJ207': 8}, 
57840.0, {'gneJ207': -1.2723215}, {'gneJ207': 6}, {'gneJ207': 7}, 
57850.0, {'gneJ207': -0.8839286}, {'gneJ207': 4}, {'gneJ207': 4}, 
57860.0, {'gneJ207': -1.1026785}, {'gneJ207': 6}, {'gneJ207': 8}, 
57870.0, {'gneJ207': -1.6160715}, {'gneJ207': 9}, {'gneJ207': 13}, 
57880.0, {'gneJ207': -2.263393}, {'gneJ207': 10}, {'gneJ207': 17}, 
57890.0, {'gneJ207': -3.0223215}, {'gneJ207': 10}, {'gneJ207': 17}, 
57900.0, {'gneJ207': -2.6875}, {'gneJ207': 9}, {'gneJ207': 14}, 
57910.0, {'gneJ207': -1.5044643}, {'gneJ207': 7}, {'gneJ207': 8}, 
57920.0, {'gneJ207': -1.6473215}, {'gneJ207': 7}, {'gneJ207': 9}, 
57930.0, {'gneJ207': -1.3392857}, {'gneJ207': 7}, {'gneJ207': 7}, 
57940.0, {'gneJ207': -1.6517857}, {'gneJ207': 7}, {'gneJ207': 7}, 
57950.0, {'gneJ207': -0.80803573}, {'gneJ207': 4}, {'gneJ207': 4}, 
57960.0, {'gneJ207': -0.15625}, {'gneJ207': 1}, {'gneJ207': 1}, 
57970.0, {'gneJ207': -0.27232143}, {'gneJ207': 2}, {'gneJ207': 3}, 
57980.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
57990.0, {'gneJ207': -0.026785715}, {'gneJ207': 1}, {'gneJ207': 1}, 
58000.0, {'gneJ207': -0.071428575}, {'gneJ207': 1}, {'gneJ207': 1}, 
58010.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58020.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58030.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58040.0, {'gneJ207': -0.07589286}, {'gneJ207': 2}, {'gneJ207': 4}, 
58050.0, {'gneJ207': -0.33035713}, {'gneJ207': 3}, {'gneJ207': 6}, 
58060.0, {'gneJ207': -0.50446427}, {'gneJ207': 3}, {'gneJ207': 5}, 
58070.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58080.0, {'gneJ207': -0.071428575}, {'gneJ207': 2}, {'gneJ207': 2}, 
58090.0, {'gneJ207': -0.07589286}, {'gneJ207': 1}, {'gneJ207': 1}, 
58100.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 1}, 
